Landing page,Total sessions,GPT Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Sessions per active user,Session key event rate
/sv-se,464461,10,7,4,9.9,0,0,1.428571429,0
/sv-se/foretag,10748,4,0,0,0,0,0,0,0
/sv-se/foretag/företagsbanken,38434,2,2,1,1,0,0,1,0
/sv-se/om-oss,380,2,1,0,203,0,0,2,0
/sv-se/om-oss/integritet/gdpr,5009,2,1,1,0,0,0,2,0
/sv-se/foretag/artiklar-och-tips/content/gör-dig-synlig-på-linkedin,3,1,1,0,114,0,0,1,0
/sv-se/foretag/artiklar-och-tips/content/varannan-svensk-föredrar-självbetjäningskassa,10,1,1,1,126,0,0,1,0
/sv-se/foretag/betallosningar/e-handel/payson-checkout,3538,1,1,0,2,0,0,1,0
/sv-se/foretag/företagsbanken/hjälp,3729,1,1,1,4,0,0,1,0
/sv-se/om-oss/vara-kunder,549,1,1,0,11,0,0,1,0
/sv-se/logga-in,360577,0,178201,116400,7.788583298,4178,0,2.0234286,0.009515304637
/sv-se/foretag/inkasso,53513,0,42122,32897,23.74649151,4171,0,1.270428755,0.06837590866
/sv-se/privat/låna/privatlån/svealånet,20628,0,16868,13689,102.2173744,3248,0,1.22290728,0.1449486135
/sv-se/foretag/finansiering/factoring,19619,0,11693,8253,25.77960141,1378,0,1.677841444,0.04837147663
/sv-se/privat/kontakt,19080,0,14844,9425,34.46692872,5641,0,1.285367825,0.2625262055
/sv-se/foretag/finansiering/foretagskredit,16986,0,13482,10247,31.79936418,2111,0,1.259902092,0.09525491581
/sv-se/privat,16725,0,11866,7235,29.89506726,605,0,1.409489297,0.03294469357
/sv-se/foretag/företagsbanken/kontokredit,13475,0,9305,7055,17.61788497,2271,0,1.448146158,0.1402597403
/sv-se/privat/låna/skuldfinansiering,13471,0,11231,9242,46.63818573,701,0,1.199447957,0.04795486601
/sv-se/privat/spara/sparkonto,12095,0,9550,7803,26.44324101,266,0,1.266492147,0.01835469202
/sv-se/foretag/finansiering,11375,0,9275,7911,26.66742857,429,0,1.226415094,0.02435164835
/sv-se/privat/artiklar-och-tips/content/saker-som-säljer-bäst-på-andrahandsmarknaden-just-nu,9299,0,7661,6766,59.29519303,0,0,1.213810208,0
/sv-se/privat/låna/bolån/hemnet,8339,0,6706,6168,48.2300036,221,0,1.243513272,0.0253027941
/sv-se/privat/artiklar-och-tips/content/spara-pengar-till-barn,7385,0,6226,5549,66.98104265,0,0,1.186154835,0
/sv-se/foretag/inkasso,53513,0,42122,32897,23.74649151,4171,0,1.270428755,0.06837590866
/sv-se/privat/låna/privatlån/svealånet,20628,0,16868,13689,102.2173744,3248,0,1.22290728,0.1449486135
/sv-se/foretag/finansiering/factoring,19619,0,11693,8253,25.77960141,1378,0,1.677841444,0.04837147663
/sv-se/privat/kontakt,19080,0,14844,9425,34.46692872,5641,0,1.285367825,0.2625262055
/sv-se/foretag/finansiering/foretagskredit,16986,0,13482,10247,31.79936418,2111,0,1.259902092,0.09525491581
/sv-se/privat,16725,0,11866,7235,29.89506726,605,0,1.409489297,0.03294469357
/sv-se/foretag/företagsbanken/kontokredit,13475,0,9305,7055,17.61788497,2271,0,1.448146158,0.1402597403
/sv-se/privat/låna/skuldfinansiering,13471,0,11231,9242,46.63818573,701,0,1.199447957,0.04795486601
/sv-se/privat/spara/sparkonto,12095,0,9550,7803,26.44324101,266,0,1.266492147,0.01835469202
/sv-se/foretag/finansiering,11375,0,9275,7911,26.66742857,429,0,1.226415094,0.02435164835
/sv-se/privat/artiklar-och-tips/content/saker-som-säljer-bäst-på-andrahandsmarknaden-just-nu,9299,0,7661,6766,59.29519303,0,0,1.213810208,0
/sv-se/privat/låna/bolån/hemnet,8339,0,6706,6168,48.2300036,221,0,1.243513272,0.0253027941
/sv-se/privat/artiklar-och-tips/content/spara-pengar-till-barn,7385,0,6226,5549,66.98104265,0,0,1.186154835,0